Team1, Team2, Score1, Score2, WinningTeam
Chicago Cubs, Pittsburgh Pirates, 2, 8, 2
Colorado Rockies, San Francisco Giants, 3, 4, 2
Milwaukee Brewers, St. Louis Cardinals, 9, 5, 1
New York Yankees, Tampa Bay Rays, 0, 4, 2
San Diego Padres, Texas Rangers, 7, 4, 1
Los Angeles Angels, Toronto Blue Jays, 1, 15, 2
Cincinnati Reds, Arizona D'Backs, 0, 7, 2
Philadelphia Phillies, Atlanta Braves, 7, 6, 1
Boston Red Sox, Baltimore Orioles, 14, 9, 1
Kansas City Royals, Chicago White Sox, 4, 3, 1
Detroit Tigers, Cleveland Indians, 2, 5, 2
Washington Nationals, Los Angeles Dodgers, 0, 3, 2
Seattle Mariners, Minnesota Twins, 8, 6, 1
Miami Marlins, New York Mets, 5, 6, 2
Chicago Cubs, Pittsburgh Pirates, 1, 7, 2
Colorado Rockies, San Francisco Giants, 0, 4, 2
Milwaukee Brewers, St. Louis Cardinals, 9, 3, 1
New York Yankees, Tampa Bay Rays, 8, 4, 1
San Diego Padres, Texas Rangers, 2, 0, 1
Oakland Athletics, Arizona D'Backs, 9, 5, 1
Miami Marlins, Atlanta Braves, 5, 3, 1
Cleveland Indians, Chicago White Sox, 3, 4, 2
Detroit Tigers, Houston Astros, 6, 2, 1
Los Angeles Angels, Kansas City Royals, 10, 3, 1
Chicago Cubs, Milwaukee Brewers, 3, 6, 2
San Diego Padres, Pittsburgh Pirates, 6, 2, 1
Cincinnati Reds, San Francisco Giants, 3, 0, 1
Washington Nationals, St. Louis Cardinals, 5, 2, 1
Texas Rangers, Tampa Bay Rays, 0, 1, 2
New York Yankees, Toronto Blue Jays, 3, 1, 1
Oakland Athletics, Arizona D'Backs, 7, 5, 1
Miami Marlins, Atlanta Braves, 14, 8, 1
Seattle Mariners, Baltimore Orioles, 4, 3, 1
Seattle Mariners, Baltimore Orioles, 6, 7, 2
Cleveland Indians, Chicago White Sox, 2, 0, 1
Detroit Tigers, Houston Astros, 8, 2, 1
Los Angeles Angels, Kansas City Royals, 2, 3, 2
Colorado Rockies, Los Angeles Dodgers, 0, 7, 2
Chicago Cubs, Milwaukee Brewers, 3, 2, 1
Boston Red Sox, Minnesota Twins, 4, 2, 1
Philadelphia Phillies, New York Mets, 3, 4, 2
Philadelphia Phillies, New York Mets, 0, 4, 2
San Diego Padres, Pittsburgh Pirates, 4, 8, 2
Cincinnati Reds, San Francisco Giants, 6, 7, 2
Washington Nationals, St. Louis Cardinals, 3, 14, 2
Texas Rangers, Tampa Bay Rays, 8, 3, 1
New York Yankees, Toronto Blue Jays, 3, 7, 2
Miami Marlins, Atlanta Braves, 6, 5, 1
Cleveland Indians, Chicago White Sox, 0, 8, 2
Detroit Tigers, Houston Astros, 6, 4, 1
Los Angeles Angels, Kansas City Royals, 1, 6, 2
Colorado Rockies, Los Angeles Dodgers, 2, 4, 2
Chicago Cubs, Milwaukee Brewers, 0, 7, 2
Boston Red Sox, Minnesota Twins, 3, 2, 1
Boston Red Sox, Minnesota Twins, 7, 1, 1
Philadelphia Phillies, New York Mets, 1, 5, 2
San Diego Padres, Pittsburgh Pirates, 1, 5, 2
Cincinnati Reds, San Francisco Giants, 0, 3, 2
Washington Nationals, St. Louis Cardinals, 6, 0, 1
Texas Rangers, Tampa Bay Rays, 5, 1, 1
New York Yankees, Toronto Blue Jays, 4, 5, 2
Miami Marlins, Atlanta Braves, 6, 7, 2
Seattle Mariners, Baltimore Orioles, 4, 2, 1
Seattle Mariners, Baltimore Orioles, 2, 1, 1
Cleveland Indians, Chicago White Sox, 4, 2, 1
Toronto Blue Jays, Kansas City Royals, 5, 7, 2
Colorado Rockies, Los Angeles Dodgers, 5, 7, 2
Boston Red Sox, Minnesota Twins, 3, 4, 2
Detroit Tigers, Oakland Athletics, 4, 8, 2
San Diego Padres, Pittsburgh Pirates, 8, 3, 1
