Team1, Team2, Score1, Score2, WinningTeam
Washington Nationals, New York Yankees, 2, 3, 2
Arizona D'Backs, New York Mets, 2, 4, 2
Tampa Bay Rays, Oakland Athletics, 4, 3, 1
San Diego Padres, San Francisco Giants, 11, 1, 1
Colorado Rockies, St. Louis Cardinals, 0, 2, 2
Seattle Mariners, Texas Rangers, 2, 10, 2
Miami Marlins, Arizona D'Backs, 2, 5, 2
Boston Red Sox, Baltimore Orioles, 1, 4, 2
Los Angeles Angels, Houston Astros, 5, 4, 1
Cincinnati Reds, Pittsburgh Pirates, 14, 1, 1
Texas Rangers, San Francisco Giants, 1, 3, 2
Miami Marlins, Arizona D'Backs, 3, 11, 2
Toronto Blue Jays, Atlanta Braves, 5, 3, 1
Oakland Athletics, Boston Red Sox, 3, 2, 1
Minnesota Twins, Chicago White Sox, 3, 9, 2
Chicago Cubs, Cleveland Indians, 2, 3, 2
San Diego Padres, Colorado Rockies, 8, 1, 1
Kansas City Royals, Detroit Tigers, 7, 8, 2
Los Angeles Angels, Houston Astros, 1, 5, 2
Seattle Mariners, Los Angeles Dodgers, 4, 6, 2
St. Louis Cardinals, Milwaukee Brewers, 6, 1, 1
Baltimore Orioles, New York Mets, 2, 3, 2
Cincinnati Reds, Pittsburgh Pirates, 2, 7, 2
Texas Rangers, San Francisco Giants, 2, 4, 2
New York Yankees, Tampa Bay Rays, 3, 1, 1
Philadelphia Phillies, Washington Nationals, 6, 2, 1
Miami Marlins, Arizona D'Backs, 3, 2, 1
Toronto Blue Jays, Atlanta Braves, 4, 1, 1
Oakland Athletics, Boston Red Sox, 4, 1, 1
Minnesota Twins, Chicago White Sox, 8, 13, 2
Chicago Cubs, Cleveland Indians, 1, 2, 2
San Diego Padres, Colorado Rockies, 5, 3, 1
San Diego Padres, Colorado Rockies, 2, 3, 2
Kansas City Royals, Detroit Tigers, 2, 4, 2
Los Angeles Angels, Houston Astros, 1, 9, 2
Seattle Mariners, Los Angeles Dodgers, 1, 7, 2
St. Louis Cardinals, Milwaukee Brewers, 1, 4, 2
Baltimore Orioles, New York Mets, 1, 7, 2
Cincinnati Reds, Pittsburgh Pirates, 5, 1, 1
New York Yankees, Tampa Bay Rays, 1, 0, 1
Philadelphia Phillies, Washington Nationals, 5, 2, 1
Miami Marlins, Arizona D'Backs, 5, 1, 1
Toronto Blue Jays, Atlanta Braves, 8, 4, 1
Oakland Athletics, Boston Red Sox, 1, 8, 2
Minnesota Twins, Chicago White Sox, 2, 4, 2
Cincinnati Reds, Colorado Rockies, 8, 13, 2
Kansas City Royals, Detroit Tigers, 3, 4, 2
Texas Rangers, Houston Astros, 3, 4, 2
St. Louis Cardinals, Milwaukee Brewers, 2, 0, 1
San Francisco Giants, Pittsburgh Pirates, 3, 1, 1
Cleveland Indians, Seattle Mariners, 4, 2, 1
New York Yankees, Tampa Bay Rays, 1, 9, 2
Philadelphia Phillies, Washington Nationals, 1, 5, 2
Washington Nationals, Arizona D'Backs, 17, 2, 1
New York Yankees, Baltimore Orioles, 5, 4, 1
Los Angeles Angels, Boston Red Sox, 3, 4, 2
Kansas City Royals, Chicago White Sox, 6, 2, 1
Kansas City Royals, Chicago White Sox, 1, 3, 2
Cincinnati Reds, Colorado Rockies, 6, 9, 2
Chicago Cubs, Detroit Tigers, 4, 2, 1
Texas Rangers, Houston Astros, 4, 10, 2
Miami Marlins, Los Angeles Dodgers, 6, 9, 2
Atlanta Braves, Milwaukee Brewers, 6, 3, 1
Oakland Athletics, Minnesota Twins, 6, 1, 1
San Francisco Giants, Pittsburgh Pirates, 2, 3, 2
St. Louis Cardinals, San Diego Padres, 4, 5, 2
Cleveland Indians, Seattle Mariners, 3, 7, 2
New York Mets, Tampa Bay Rays, 2, 3, 2
Philadelphia Phillies, Toronto Blue Jays, 5, 1, 1
Washington Nationals, Arizona D'Backs, 4, 11, 2
New York Yankees, Baltimore Orioles, 8, 2, 1
Los Angeles Angels, Boston Red Sox, 0, 9, 2
Kansas City Royals, Chicago White Sox, 5, 1, 1
Cincinnati Reds, Colorado Rockies, 6, 5, 1
Chicago Cubs, Detroit Tigers, 8, 9, 2
Texas Rangers, Houston Astros, 5, 6, 2
Miami Marlins, Los Angeles Dodgers, 0, 7, 2
Atlanta Braves, Milwaukee Brewers, 5, 1, 1
Oakland Athletics, Minnesota Twins, 4, 5, 2
San Francisco Giants, Pittsburgh Pirates, 6, 8, 2
St. Louis Cardinals, San Diego Padres, 3, 13, 2
Cleveland Indians, Seattle Mariners, 3, 7, 2
New York Mets, Tampa Bay Rays, 5, 12, 2
Philadelphia Phillies, Toronto Blue Jays, 0, 4, 2
Washington Nationals, Arizona D'Backs, 3, 0, 1
New York Yankees, Baltimore Orioles, 6, 10, 2
Los Angeles Angels, Boston Red Sox, 6, 5, 1
Kansas City Royals, Chicago White Sox, 3, 4, 2
Cincinnati Reds, Colorado Rockies, 7, 6, 1
Chicago Cubs, Detroit Tigers, 5, 1, 1
Texas Rangers, Houston Astros, 2, 6, 2
Miami Marlins, Los Angeles Dodgers, 3, 2, 1
Atlanta Braves, Milwaukee Brewers, 9, 10, 2
Oakland Athletics, Minnesota Twins, 7, 6, 1
San Francisco Giants, Pittsburgh Pirates, 4, 1, 1
St. Louis Cardinals, San Diego Padres, 3, 5, 2
Cleveland Indians, Seattle Mariners, 2, 3, 2
New York Mets, Tampa Bay Rays, 1, 7, 2
Philadelphia Phillies, Toronto Blue Jays, 8, 10, 2
Cleveland Indians, Los Angeles Angels, 4, 7, 2
New York Mets, Atlanta Braves, 3, 1, 1
Washington Nationals, Chicago Cubs, 3, 7, 2
San Francisco Giants, Cincinnati Reds, 6, 3, 1
Arizona D'Backs, Los Angeles Dodgers, 1, 3, 2
Chicago White Sox, Minnesota Twins, 16, 4, 1
Colorado Rockies, San Diego Padres, 0, 7, 2
Detroit Tigers, Seattle Mariners, 4, 1, 1
New York Yankees, Texas Rangers, 2, 5, 2
Cleveland Indians, Los Angeles Angels, 6, 5, 1
New York Mets, Atlanta Braves, 4, 3, 1
Tampa Bay Rays, Baltimore Orioles, 13, 6, 1
Washington Nationals, Chicago Cubs, 3, 6, 2
San Francisco Giants, Cincinnati Reds, 4, 2, 1
Milwaukee Brewers, Kansas City Royals, 0, 2, 2
Arizona D'Backs, Los Angeles Dodgers, 1, 9, 2
Chicago White Sox, Minnesota Twins, 4, 5, 2
Houston Astros, Oakland Athletics, 5, 6, 2
Miami Marlins, Philadelphia Phillies, 3, 8, 2
Colorado Rockies, San Diego Padres, 1, 2, 2
Detroit Tigers, Seattle Mariners, 5, 0, 1
Pittsburgh Pirates, St. Louis Cardinals, 2, 5, 2
New York Yankees, Texas Rangers, 7, 4, 1
Boston Red Sox, Toronto Blue Jays, 0, 8, 2
Cleveland Indians, Los Angeles Angels, 3, 2, 1
New York Mets, Atlanta Braves, 4, 5, 2
Tampa Bay Rays, Baltimore Orioles, 9, 7, 1
Washington Nationals, Chicago Cubs, 4, 3, 1
San Francisco Giants, Cincinnati Reds, 4, 0, 1
Milwaukee Brewers, Kansas City Royals, 4, 6, 2
Arizona D'Backs, Los Angeles Dodgers, 2, 4, 2
Chicago White Sox, Minnesota Twins, 2, 1, 1
Houston Astros, Oakland Athletics, 8, 1, 1
Miami Marlins, Philadelphia Phillies, 3, 1, 1
Colorado Rockies, San Diego Padres, 0, 3, 2
Detroit Tigers, Seattle Mariners, 6, 2, 1
Pittsburgh Pirates, St. Louis Cardinals, 5, 8, 2
New York Yankees, Texas Rangers, 2, 0, 1
Boston Red Sox, Toronto Blue Jays, 7, 3, 1
Minnesota Twins, Los Angeles Angels, 1, 7, 2
Minnesota Twins, Los Angeles Angels, 6, 3, 1
Pittsburgh Pirates, Atlanta Braves, 6, 4, 1
Tampa Bay Rays, Baltimore Orioles, 10, 1, 1
Washington Nationals, Chicago Cubs, 2, 5, 2
San Francisco Giants, Cincinnati Reds, 19, 4, 1
Arizona D'Backs, Los Angeles Dodgers, 2, 3, 2
Houston Astros, Oakland Athletics, 8, 4, 1
Miami Marlins, Philadelphia Phillies, 6, 0, 1
New York Yankees, Texas Rangers, 2, 0, 1
Boston Red Sox, Toronto Blue Jays, 8, 7, 1
Oakland Athletics, Los Angeles Angels, 8, 4, 1
Pittsburgh Pirates, Atlanta Braves, 1, 20, 2
Milwaukee Brewers, Cincinnati Reds, 4, 9, 2
Minnesota Twins, Cleveland Indians, 10, 0, 1
Arizona D'Backs, Colorado Rockies, 1, 7, 2
Detroit Tigers, Kansas City Royals, 7, 5, 1
New York Mets, Miami Marlins, 6, 5, 1
Chicago White Sox, New York Yankees, 1, 2, 2
Boston Red Sox, Philadelphia Phillies, 11, 3, 1
Seattle Mariners, San Diego Padres, 1, 16, 2
Los Angeles Dodgers, San Francisco Giants, 2, 1, 1
Chicago Cubs, St. Louis Cardinals, 12, 3, 1
Houston Astros, Texas Rangers, 5, 7, 2
Tampa Bay Rays, Toronto Blue Jays, 9, 7, 1
Baltimore Orioles, Washington Nationals, 2, 4, 2
Oakland Athletics, Los Angeles Angels, 6, 2, 1
Pittsburgh Pirates, Atlanta Braves, 1, 6, 2
Milwaukee Brewers, Cincinnati Reds, 4, 3, 1
Minnesota Twins, Cleveland Indians, 3, 5, 2
Arizona D'Backs, Colorado Rockies, 6, 7, 2
Detroit Tigers, Kansas City Royals, 5, 7, 2
New York Mets, Miami Marlins, 1, 3, 2
Chicago White Sox, New York Yankees, 0, 7, 2
Boston Red Sox, Philadelphia Phillies, 4, 3, 1
Seattle Mariners, San Diego Padres, 4, 6, 2
Los Angeles Dodgers, San Francisco Giants, 6, 3, 1
Chicago Cubs, St. Louis Cardinals, 1, 2, 2
Houston Astros, Texas Rangers, 4, 8, 2
Tampa Bay Rays, Toronto Blue Jays, 3, 1, 1
Baltimore Orioles, Washington Nationals, 9, 12, 2
Oakland Athletics, Los Angeles Angels, 5, 6, 2
Pittsburgh Pirates, Atlanta Braves, 1, 7, 2
Milwaukee Brewers, Cincinnati Reds, 9, 4, 1
Minnesota Twins, Cleveland Indians, 8, 5, 1
Arizona D'Backs, Colorado Rockies, 3, 4, 2
Detroit Tigers, Kansas City Royals, 2, 3, 2
New York Mets, Miami Marlins, 1, 5, 2
Chicago White Sox, New York Yankees, 4, 5, 2
Boston Red Sox, Philadelphia Phillies, 2, 6, 2
Seattle Mariners, San Diego Padres, 2, 9, 2
Los Angeles Dodgers, San Francisco Giants, 11, 5, 1
Chicago Cubs, St. Louis Cardinals, 2, 1, 1
Houston Astros, Texas Rangers, 2, 3, 2
Tampa Bay Rays, Toronto Blue Jays, 6, 4, 1
Baltimore Orioles, Washington Nationals, 5, 6, 2
St. Louis Cardinals, Chicago White Sox, 1, 5, 2
Cleveland Indians, Detroit Tigers, 6, 5, 1
Philadelphia Phillies, Miami Marlins, 6, 9, 2
San Diego Padres, Milwaukee Brewers, 3, 5, 2
Baltimore Orioles, Minnesota Twins, 3, 8, 2
Colorado Rockies, New York Mets, 3, 2, 1
Seattle Mariners, Oakland Athletics, 4, 2, 1
Tampa Bay Rays, Toronto Blue Jays, 14, 8, 1
Texas Rangers, Los Angeles Angels, 5, 11, 2
San Francisco Giants, Arizona D'Backs, 8, 0, 1
Atlanta Braves, Boston Red Sox, 3, 1, 1
St. Louis Cardinals, Chicago White Sox, 3, 8, 2
Cleveland Indians, Detroit Tigers, 4, 1, 1
Los Angeles Dodgers, Houston Astros, 9, 2, 1
Philadelphia Phillies, Miami Marlins, 2, 0, 1
San Diego Padres, Milwaukee Brewers, 7, 1, 1
Baltimore Orioles, Minnesota Twins, 4, 7, 2
Toronto Blue Jays, New York Yankees, 6, 2, 1
Colorado Rockies, New York Mets, 1, 3, 2
Seattle Mariners, Oakland Athletics, 4, 3, 1
Chicago Cubs, Pittsburgh Pirates, 4, 3, 1
Kansas City Royals, Tampa Bay Rays, 2, 1, 1
Cincinnati Reds, Washington Nationals, 2, 1, 1
Texas Rangers, Los Angeles Angels, 8, 9, 2
San Francisco Giants, Arizona D'Backs, 5, 4, 1
Atlanta Braves, Boston Red Sox, 5, 9, 2
St. Louis Cardinals, Chicago White Sox, 4, 0, 1
Cleveland Indians, Detroit Tigers, 0, 1, 2
Los Angeles Dodgers, Houston Astros, 2, 5, 2
Philadelphia Phillies, Miami Marlins, 2, 4, 2
San Diego Padres, Milwaukee Brewers, 2, 1, 1
Baltimore Orioles, Minnesota Twins, 2, 3, 2
Seattle Mariners, Oakland Athletics, 3, 6, 2
Chicago Cubs, Pittsburgh Pirates, 4, 1, 1
Kansas City Royals, Tampa Bay Rays, 1, 2, 2
Cincinnati Reds, Washington Nationals, 3, 5, 2
St. Louis Cardinals, Arizona D'Backs, 5, 4, 1
Baltimore Orioles, Chicago White Sox, 1, 5, 2
Cleveland Indians, Detroit Tigers, 5, 2, 1
San Francisco Giants, Los Angeles Dodgers, 3, 4, 2
Philadelphia Phillies, Miami Marlins, 3, 2, 1
San Diego Padres, Milwaukee Brewers, 5, 6, 2
Toronto Blue Jays, New York Yankees, 2, 0, 1
Toronto Blue Jays, New York Yankees, 3, 5, 2
Colorado Rockies, New York Mets, 0, 1, 2
Colorado Rockies, New York Mets, 2, 4, 2
Los Angeles Angels, Oakland Athletics, 0, 5, 2
Chicago Cubs, Pittsburgh Pirates, 5, 3, 1
Texas Rangers, Seattle Mariners, 0, 5, 2
Kansas City Royals, Tampa Bay Rays, 2, 7, 2
Cincinnati Reds, Washington Nationals, 3, 0, 1
St. Louis Cardinals, Arizona D'Backs, 8, 6, 1
Miami Marlins, Boston Red Sox, 2, 5, 2
Cincinnati Reds, Chicago Cubs, 0, 1, 2
Toronto Blue Jays, Cleveland Indians, 11, 2, 1
New York Yankees, Detroit Tigers, 2, 3, 2
San Diego Padres, Houston Astros, 10, 3, 1
San Francisco Giants, Los Angeles Dodgers, 8, 5, 1
Kansas City Royals, Minnesota Twins, 8, 3, 1
Los Angeles Angels, Oakland Athletics, 1, 3, 2
Texas Rangers, Seattle Mariners, 2, 3, 2
St. Louis Cardinals, Arizona D'Backs, 7, 4, 1
Miami Marlins, Boston Red Sox, 1, 3, 2
Baltimore Orioles, Chicago White Sox, 4, 7, 2
Baltimore Orioles, Chicago White Sox, 1, 3, 2
Cincinnati Reds, Chicago Cubs, 2, 10, 2
New York Yankees, Detroit Tigers, 1, 6, 2
San Diego Padres, Houston Astros, 11, 8, 1
San Francisco Giants, Los Angeles Dodgers, 11, 6, 1
Kansas City Royals, Minnesota Twins, 5, 6, 2
Atlanta Braves, New York Mets, 2, 13, 2
Los Angeles Angels, Oakland Athletics, 4, 0, 1
Colorado Rockies, Pittsburgh Pirates, 0, 7, 2
Colorado Rockies, Pittsburgh Pirates, 0, 4, 2
Texas Rangers, Seattle Mariners, 2, 3, 2
Philadelphia Phillies, Tampa Bay Rays, 3, 5, 2
Milwaukee Brewers, Washington Nationals, 4, 1, 1
Milwaukee Brewers, Washington Nationals, 6, 2, 1
St. Louis Cardinals, Arizona D'Backs, 2, 9, 2
Baltimore Orioles, Chicago White Sox, 1, 3, 2
Cincinnati Reds, Chicago Cubs, 5, 1, 1
Toronto Blue Jays, Cleveland Indians, 4, 1, 1
Toronto Blue Jays, Cleveland Indians, 5, 6, 2
New York Yankees, Detroit Tigers, 2, 6, 2
San Diego Padres, Houston Astros, 4, 7, 2
San Francisco Giants, Los Angeles Dodgers, 5, 4, 1
Kansas City Royals, Minnesota Twins, 6, 3, 1
Los Angeles Angels, Oakland Athletics, 4, 2, 1
Colorado Rockies, Pittsburgh Pirates, 4, 3, 1
Texas Rangers, Seattle Mariners, 2, 4, 2
Philadelphia Phillies, Tampa Bay Rays, 2, 6, 2
Milwaukee Brewers, Washington Nationals, 3, 0, 1
New York Mets, Arizona D'Backs, 6, 2, 1
Washington Nationals, Atlanta Braves, 3, 5, 2
Minnesota Twins, Baltimore Orioles, 3, 2, 1
San Diego Padres, Chicago Cubs, 2, 7, 2
Philadelphia Phillies, Cincinnati Reds, 1, 11, 2
Chicago White Sox, Cleveland Indians, 8, 6, 1
Chicago White Sox, Cleveland Indians, 1, 3, 2
Boston Red Sox, Houston Astros, 2, 11, 2
Pittsburgh Pirates, Kansas City Royals, 3, 7, 2
St. Louis Cardinals, Los Angeles Dodgers, 4, 9, 2
Detroit Tigers, Milwaukee Brewers, 2, 3, 2
Tampa Bay Rays, New York Yankees, 3, 1, 1
Oakland Athletics, Seattle Mariners, 5, 6, 2
Los Angeles Angels, San Francisco Giants, 1, 6, 2
New York Mets, Arizona D'Backs, 5, 6, 2
Washington Nationals, Atlanta Braves, 11, 6, 1
Minnesota Twins, Baltimore Orioles, 4, 7, 2
San Diego Padres, Chicago Cubs, 3, 4, 2
Philadelphia Phillies, Cincinnati Reds, 17, 3, 1
Chicago White Sox, Cleveland Indians, 5, 6, 2
Texas Rangers, Colorado Rockies, 2, 3, 2
Boston Red Sox, Houston Astros, 1, 5, 2
Pittsburgh Pirates, Kansas City Royals, 5, 10, 2
St. Louis Cardinals, Los Angeles Dodgers, 3, 2, 1
Detroit Tigers, Milwaukee Brewers, 10, 7, 1
Tampa Bay Rays, New York Yankees, 3, 5, 2
Oakland Athletics, Seattle Mariners, 12, 6, 1
Los Angeles Angels, San Francisco Giants, 8, 1, 1
Miami Marlins, Toronto Blue Jays, 1, 5, 2
New York Mets, Arizona D'Backs, 7, 6, 1
Washington Nationals, Atlanta Braves, 5, 3, 1
Minnesota Twins, Baltimore Orioles, 3, 6, 2
San Diego Padres, Chicago Cubs, 1, 6, 2
Texas Rangers, Colorado Rockies, 3, 6, 2
Boston Red Sox, Houston Astros, 1, 2, 2
St. Louis Cardinals, Los Angeles Dodgers, 3, 14, 2
Tampa Bay Rays, New York Yankees, 3, 4, 2
Oakland Athletics, Seattle Mariners, 6, 0, 1
Miami Marlins, Toronto Blue Jays, 5, 6, 2
Seattle Mariners, Los Angeles Angels, 6, 2, 1
Washington Nationals, Atlanta Braves, 1, 5, 2
Detroit Tigers, Chicago White Sox, 1, 4, 2
Texas Rangers, Colorado Rockies, 6, 11, 2
Boston Red Sox, Houston Astros, 5, 1, 1
Minnesota Twins, Kansas City Royals, 5, 6, 2
Arizona D'Backs, Milwaukee Brewers, 4, 7, 2
Tampa Bay Rays, New York Yankees, 9, 2, 1
Miami Marlins, Pittsburgh Pirates, 3, 5, 2
New York Mets, San Diego Padres, 3, 4, 2
Chicago Cubs, San Francisco Giants, 2, 7, 2
Cincinnati Reds, St. Louis Cardinals, 4, 2, 1
Seattle Mariners, Los Angeles Angels, 2, 3, 2
Los Angeles Dodgers, Atlanta Braves, 9, 5, 1
Cleveland Indians, Baltimore Orioles, 1, 3, 2
Detroit Tigers, Chicago White Sox, 8, 9, 2
Oakland Athletics, Colorado Rockies, 9, 5, 1
Minnesota Twins, Kansas City Royals, 5, 14, 2
Arizona D'Backs, Milwaukee Brewers, 1, 5, 2
Boston Red Sox, New York Yankees, 5, 2, 1
Washington Nationals, Philadelphia Phillies, 2, 1, 1
Miami Marlins, Pittsburgh Pirates, 2, 9, 2
New York Mets, San Diego Padres, 0, 2, 2
Chicago Cubs, San Francisco Giants, 5, 8, 2
Cincinnati Reds, St. Louis Cardinals, 6, 4, 1
Tampa Bay Rays, Texas Rangers, 4, 5, 2
Houston Astros, Toronto Blue Jays, 13, 1, 1
Seattle Mariners, Los Angeles Angels, 5, 12, 2
Los Angeles Dodgers, Atlanta Braves, 4, 6, 2
Cleveland Indians, Baltimore Orioles, 10, 4, 1
Detroit Tigers, Chicago White Sox, 4, 3, 1
Oakland Athletics, Colorado Rockies, 6, 3, 1
Minnesota Twins, Kansas City Royals, 5, 4, 1
Arizona D'Backs, Milwaukee Brewers, 5, 7, 2
Boston Red Sox, New York Yankees, 7, 3, 1
Washington Nationals, Philadelphia Phillies, 2, 5, 2
Miami Marlins, Pittsburgh Pirates, 7, 8, 2
New York Mets, San Diego Padres, 4, 0, 1
Chicago Cubs, San Francisco Giants, 3, 4, 2
Cincinnati Reds, St. Louis Cardinals, 5, 2, 1
Tampa Bay Rays, Texas Rangers, 3, 0, 1
Houston Astros, Toronto Blue Jays, 2, 6, 2
Seattle Mariners, Los Angeles Angels, 9, 5, 1
Los Angeles Dodgers, Atlanta Braves, 2, 4, 2
Cleveland Indians, Baltimore Orioles, 5, 18, 2
Detroit Tigers, Chicago White Sox, 0, 3, 2
Oakland Athletics, Colorado Rockies, 1, 3, 2
Minnesota Twins, Kansas City Royals, 2, 1, 1
Arizona D'Backs, Milwaukee Brewers, 0, 2, 2
Boston Red Sox, New York Yankees, 6, 5, 1
Washington Nationals, Philadelphia Phillies, 6, 12, 2
Miami Marlins, Pittsburgh Pirates, 3, 1, 1
New York Mets, San Diego Padres, 6, 2, 1
Chicago Cubs, San Francisco Giants, 4, 3, 1
Cincinnati Reds, St. Louis Cardinals, 8, 7, 1
Tampa Bay Rays, Texas Rangers, 7, 1, 1
Houston Astros, Toronto Blue Jays, 6, 3, 1
Kansas City Royals, Los Angeles Angels, 3, 8, 2
Miami Marlins, Boston Red Sox, 3, 5, 2
Chicago Cubs, San Diego Padres, 4, 9, 2
Kansas City Royals, Los Angeles Angels, 1, 8, 2
New York Mets, Baltimore Orioles, 3, 10, 2
Houston Astros, Boston Red Sox, 7, 1, 1
Toronto Blue Jays, Chicago White Sox, 1, 6, 2
Milwaukee Brewers, Cincinnati Reds, 5, 1, 1
Seattle Mariners, Detroit Tigers, 3, 5, 2
Colorado Rockies, Miami Marlins, 2, 6, 2
New York Yankees, Minnesota Twins, 8, 4, 1
Arizona D'Backs, Oakland Athletics, 2, 5, 2
Atlanta Braves, Philadelphia Phillies, 9, 5, 1
Los Angeles Dodgers, Pittsburgh Pirates, 5, 3, 1
Chicago Cubs, San Diego Padres, 7, 1, 1
Cleveland Indians, St. Louis Cardinals, 10, 1, 1
Washington Nationals, Tampa Bay Rays, 1, 3, 2
San Francisco Giants, Texas Rangers, 9, 4, 1
Kansas City Royals, Los Angeles Angels, 1, 6, 2
New York Mets, Baltimore Orioles, 14, 1, 1
Houston Astros, Boston Red Sox, 8, 3, 1
Toronto Blue Jays, Chicago White Sox, 6, 2, 1
Milwaukee Brewers, Cincinnati Reds, 3, 7, 2
Seattle Mariners, Detroit Tigers, 9, 6, 1
Colorado Rockies, Miami Marlins, 4, 3, 1
New York Yankees, Minnesota Twins, 9, 6, 1
Arizona D'Backs, Oakland Athletics, 0, 4, 2
Atlanta Braves, Philadelphia Phillies, 1, 2, 2
Los Angeles Dodgers, Pittsburgh Pirates, 2, 1, 1
Chicago Cubs, San Diego Padres, 3, 1, 1
Cleveland Indians, St. Louis Cardinals, 2, 8, 2
Washington Nationals, Tampa Bay Rays, 9, 7, 1
San Francisco Giants, Texas Rangers, 3, 4, 2
Houston Astros, Boston Red Sox, 8, 12, 2
Toronto Blue Jays, Chicago White Sox, 2, 5, 2
Milwaukee Brewers, Cincinnati Reds, 7, 2, 1
Seattle Mariners, Detroit Tigers, 3, 8, 2
Colorado Rockies, Miami Marlins, 4, 11, 2
New York Yankees, Minnesota Twins, 5, 7, 2
Kansas City Royals, Oakland Athletics, 6, 1, 1
Atlanta Braves, Philadelphia Phillies, 3, 4, 2
Los Angeles Dodgers, Pittsburgh Pirates, 6, 3, 1
Los Angeles Angels, Arizona D'Backs, 6, 5, 1
Toronto Blue Jays, Boston Red Sox, 5, 6, 2
St. Louis Cardinals, Chicago Cubs, 5, 8, 2
Colorado Rockies, Cincinnati Reds, 5, 11, 2
Seattle Mariners, Cleveland Indians, 0, 7, 2
Chicago White Sox, Detroit Tigers, 5, 4, 1
Texas Rangers, Los Angeles Dodgers, 1, 12, 2
Atlanta Braves, Miami Marlins, 3, 4, 2
Pittsburgh Pirates, Milwaukee Brewers, 4, 7, 2
Houston Astros, Minnesota Twins, 6, 4, 1
San Diego Padres, New York Mets, 2, 3, 2
Kansas City Royals, Oakland Athletics, 3, 4, 2
Baltimore Orioles, Tampa Bay Rays, 2, 4, 2
San Francisco Giants, Washington Nationals, 1, 0, 1
Los Angeles Angels, Arizona D'Backs, 8, 7, 1
Toronto Blue Jays, Boston Red Sox, 7, 2, 1
St. Louis Cardinals, Chicago Cubs, 2, 7, 2
Colorado Rockies, Cincinnati Reds, 3, 10, 2
Seattle Mariners, Cleveland Indians, 4, 5, 2
Chicago White Sox, Detroit Tigers, 15, 2, 1
Texas Rangers, Los Angeles Dodgers, 12, 1, 1
Atlanta Braves, Miami Marlins, 2, 4, 2
Pittsburgh Pirates, Milwaukee Brewers, 4, 7, 2
Houston Astros, Minnesota Twins, 2, 5, 2
San Diego Padres, New York Mets, 1, 4, 2
Kansas City Royals, Oakland Athletics, 2, 11, 2
New York Yankees, Philadelphia Phillies, 7, 8, 2
Baltimore Orioles, Tampa Bay Rays, 4, 5, 2
San Francisco Giants, Washington Nationals, 0, 2, 2
San Francisco Giants, Washington Nationals, 2, 1, 1
Los Angeles Angels, Arizona D'Backs, 10, 3, 1
Toronto Blue Jays, Boston Red Sox, 18, 4, 1
St. Louis Cardinals, Chicago Cubs, 0, 2, 2
Colorado Rockies, Cincinnati Reds, 2, 6, 2
Seattle Mariners, Cleveland Indians, 6, 2, 1
Chicago White Sox, Detroit Tigers, 4, 1, 1
Texas Rangers, Los Angeles Dodgers, 3, 5, 2
Atlanta Braves, Miami Marlins, 6, 4, 1
Pittsburgh Pirates, Milwaukee Brewers, 2, 5, 2
Houston Astros, Minnesota Twins, 14, 3, 1
San Diego Padres, New York Mets, 7, 3, 1
Kansas City Royals, Oakland Athletics, 3, 6, 2
New York Yankees, Philadelphia Phillies, 0, 7, 2
Baltimore Orioles, Tampa Bay Rays, 1, 7, 2
San Francisco Giants, Washington Nationals, 0, 5, 2
Toronto Blue Jays, Boston Red Sox, 1, 2, 2
Tampa Bay Rays, Chicago White Sox, 5, 2, 1
Baltimore Orioles, Cleveland Indians, 3, 4, 2
San Diego Padres, Colorado Rockies, 2, 3, 2
Detroit Tigers, Kansas City Royals, 10, 3, 1
Philadelphia Phillies, Los Angeles Dodgers, 1, 3, 2
Cincinnati Reds, Milwaukee Brewers, 10, 2, 1
Chicago Cubs, New York Mets, 2, 5, 2
Los Angeles Angels, Oakland Athletics, 5, 8, 2
Minnesota Twins, Seattle Mariners, 3, 4, 2
Arizona D'Backs, San Francisco Giants, 2, 5, 2
Miami Marlins, St. Louis Cardinals, 2, 4, 2
Pittsburgh Pirates, Washington Nationals, 2, 3, 2
Boston Red Sox, Atlanta Braves, 10, 8, 1
Tampa Bay Rays, Chicago White Sox, 0, 3, 2
Baltimore Orioles, Cleveland Indians, 2, 7, 2
San Diego Padres, Colorado Rockies, 4, 8, 2
Texas Rangers, Houston Astros, 3, 6, 2
Detroit Tigers, Kansas City Royals, 4, 3, 1
Philadelphia Phillies, Los Angeles Dodgers, 3, 5, 2
Cincinnati Reds, Milwaukee Brewers, 2, 1, 1
Chicago Cubs, New York Mets, 2, 3, 2
Los Angeles Angels, Oakland Athletics, 4, 6, 2
Minnesota Twins, Seattle Mariners, 0, 10, 2
Arizona D'Backs, San Francisco Giants, 8, 9, 2
Miami Marlins, St. Louis Cardinals, 1, 2, 2
New York Yankees, Toronto Blue Jays, 6, 5, 1
Pittsburgh Pirates, Washington Nationals, 1, 8, 2
Boston Red Sox, Atlanta Braves, 10, 8, 1
Tampa Bay Rays, Chicago White Sox, 7, 8, 2
Baltimore Orioles, Cleveland Indians, 7, 8, 2
San Diego Padres, Colorado Rockies, 7, 8, 2
Texas Rangers, Houston Astros, 4, 8, 2
Detroit Tigers, Kansas City Royals, 6, 5, 1
Philadelphia Phillies, Los Angeles Dodgers, 2, 0, 1
Cincinnati Reds, Milwaukee Brewers, 2, 1, 1
Chicago Cubs, New York Mets, 3, 6, 2
